Row.names	x	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
1	XLOC_000073	Bra011733	EUCA	ch	OK	7.62643	3.5057	-1.12131	-0.688448	0.00335	0.0418328	yes
2	XLOC_000098	Bra011681,Bra011682,Bra011683,Bra011684	EUCA	ch	OK	7.02955	2.81563	-1.31998	-0.78715	1e-04	0.00321	yes
3	XLOC_000116	Bra011655	EUCA	ch	OK	4.75673	10.1583	1.09462	0.677506	0.00355	0.0432902	yes
4	XLOC_000146	Bra011594	EUCA	ch	OK	6.58581	1.93892	-1.76411	-0.726219	5e-05	0.00186884	yes
5	XLOC_000161	Bra011554,Bra011555	EUCA	ch	OK	25.3405	52.5169	1.05134	0.850881	0.003	0.0390716	yes
6	XLOC_000187	Bra011469,Bra011470	EUCA	ch	OK	13.974	6.36157	-1.13529	-0.649344	0.0038	0.0449818	yes
7	XLOC_000313	Bra011180,Bra011181	EUCA	ch	OK	9.57891	4.46177	-1.10224	-0.634041	0.0019	0.0285235	yes
8	XLOC_000359	Bra011063	EUCA	ch	OK	0.397905	4.93269	3.63188	0.826376	5e-05	0.00186884	yes
9	XLOC_000379	Bra040178	EUCA	ch	OK	4.20063	11.7851	1.48829	0.996563	5e-05	0.00186884	yes
10	XLOC_000407	Bra013313	EUCA	ch	OK	1.36345	5.08933	1.90021	0.223922	0.00015	0.00446076	yes
11	XLOC_000413	Bra013324,Bra013326	EUCA	ch	OK	4.18998	9.33422	1.15559	0.210999	0.00415	0.0476769	yes
12	XLOC_000437	Bra013378	EUCA	ch	OK	92.2577	168.733	0.870999	0.697429	0.00295	0.0386975	yes
13	XLOC_000567	Bra013657,Bra013658,Bra013659,Bra013660,Bra013661	EUCA	ch	OK	9.186	4.92784	-0.898481	-0.594864	3e-04	0.00740769	yes
14	XLOC_000610	Bra013752	EUCA	ch	OK	1.26616	17.4852	3.7876	1.25977	0.0042	0.0480995	yes
15	XLOC_000611	Bra013754,Bra013755	EUCA	ch	OK	5.63105	9.69429	0.783733	0.591932	0.0012	0.0208216	yes
16	XLOC_000628	Bra013785	EUCA	ch	OK	11.433	1.10039	-3.37711	-0.778516	5e-05	0.00186884	yes
17	XLOC_000629	Bra013786,Bra013788	EUCA	ch	OK	29.6504	17.9711	-0.722368	-0.663493	0.0016	0.0255298	yes
18	XLOC_000680	Bra013895	EUCA	ch	OK	9.49459	19.26	1.02043	0.715871	0.0037	0.0442783	yes
19	XLOC_000703	Bra013936,Bra013937,Bra013938	EUCA	ch	OK	8.53858	13.3728	0.647237	0.613242	0.0019	0.0285235	yes
20	XLOC_000776	Bra026323	EUCA	ch	OK	7.68846	3.08531	-1.31728	-0.552723	6e-04	0.0122629	yes
21	XLOC_000813	Bra026238	EUCA	ch	OK	6.16154	17.266	1.48658	0.712428	0.00065	0.012875	yes
22	XLOC_000868	Bra038447,Bra038448	EUCA	ch	OK	10.0065	17.3129	0.790917	0.695572	0.00125	0.0214168	yes
