Row.names	x	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
1	XLOC_000011	Bra011878	EUCA	pk	OK	37.7766	24.5129	-0.623951	-0.555342	0.00705	0.0452654	yes
2	XLOC_000018	Bra011862	EUCA	pk	OK	4.71032	7.69476	0.708051	0.626181	0.00375	0.0291201	yes
3	XLOC_000020	Bra011857	EUCA	pk	OK	52.5119	21.4888	-1.28906	-0.832388	0.0068	0.0441798	yes
4	XLOC_000058	Bra011767	EUCA	pk	OK	19.0615	42.4662	1.15566	0.826261	5e-05	0.00105935	yes
5	XLOC_000059	Bra011765,Bra011766	EUCA	pk	OK	34.3567	13.5164	-1.34588	-1.17524	0.00025	0.00388519	yes
6	XLOC_000095	Bra011689,Bra011690	EUCA	pk	OK	28.6397	11.5625	-1.30857	-1.06514	3e-04	0.00448246	yes
7	XLOC_000099	Bra011679	EUCA	pk	OK	27.5286	17.772	-0.631327	-0.608038	0.0028	0.02344	yes
8	XLOC_000104	Bra011673	EUCA	pk	OK	8.21438	4.02986	-1.02742	-0.593553	0.0043	0.0317882	yes
9	XLOC_000116	Bra011655	EUCA	pk	OK	4.95698	10.7066	1.11096	0.721448	0.00245	0.0210679	yes
10	XLOC_000146	Bra011594	EUCA	pk	OK	6.87561	0.699328	-3.29745	-0.86801	5e-05	0.00105935	yes
11	XLOC_000187	Bra011469,Bra011470	EUCA	pk	OK	14.5778	6.24231	-1.22362	-0.651393	0.0017	0.0163508	yes
12	XLOC_000191	Bra011463	EUCA	pk	OK	14.0117	7.46927	-0.90759	-0.755733	3e-04	0.00448246	yes
13	XLOC_000201	Bra011441	EUCA	pk	OK	9.13818	0.537133	-4.08855	-1.1613	0.00135	0.0138968	yes
14	XLOC_000208	Bra011425,Bra011426,Bra011427	EUCA	pk	OK	9.26073	15.167	0.711739	0.483394	0.00565	0.0390302	yes
15	XLOC_000216	Bra011412,Bra011414	EUCA	pk	OK	23.4507	12.405	-0.918709	-0.709617	0.00195	0.0180751	yes
16	XLOC_000218	Bra011408	EUCA	pk	OK	1.96821	5.42199	1.46194	0.738255	0.00015	0.00261531	yes
17	XLOC_000243	Bra011352	EUCA	pk	OK	21.3002	11.5289	-0.885608	-0.772042	0.00065	0.00818496	yes
18	XLOC_000251	Bra011324,Bra011325	EUCA	pk	OK	6.04885	15.4035	1.34852	0.149135	0.00115	0.0123018	yes
19	XLOC_000289	Bra011236	EUCA	pk	OK	28.9183	74.1014	1.35752	0.999719	5e-05	0.00105935	yes
20	XLOC_000290	Bra011235	EUCA	pk	OK	65.4315	42.3447	-0.627805	-0.622292	0.00085	0.00986575	yes
21	XLOC_000328	Bra011137,Bra011138,Bra011140,Bra011141,Bra011142,Bra011144	EUCA	pk	OK	8.56905	20.7737	1.27755	0.72942	3e-04	0.00448246	yes
22	XLOC_000349	Bra011087	EUCA	pk	OK	16.8191	48.3419	1.52318	1.20567	5e-05	0.00105935	yes
23	XLOC_000361	Bra011059	EUCA	pk	OK	3.71176	7.96385	1.10136	0.640267	0.0068	0.0441798	yes
24	XLOC_000379	Bra040178	EUCA	pk	OK	4.38362	13.0943	1.57874	1.0785	5e-05	0.00105935	yes
25	XLOC_000407	Bra013313	EUCA	pk	OK	1.41998	4.91137	1.79025	0.204884	8e-04	0.00949644	yes
26	XLOC_000413	Bra013324,Bra013326	EUCA	pk	OK	4.37329	10.2631	1.23067	0.212735	0.00225	0.0198744	yes
27	XLOC_000437	Bra013378	EUCA	pk	OK	96.3283	192.509	0.998895	0.733629	0.0024	0.0208017	yes
28	XLOC_000439	Bra013382	EUCA	pk	OK	4.03327	10.0614	1.31881	0.829139	0.00025	0.00388519	yes
29	XLOC_000471	Bra013456	EUCA	pk	OK	4.7394	8.82669	0.897168	0.689879	0.00415	0.0311587	yes
30	XLOC_000555	Bra013634	EUCA	pk	OK	9.98073	20.0266	1.0047	0.766429	0.0024	0.0208017	yes
31	XLOC_000564	Bra013653	EUCA	pk	OK	575.673	371.86	-0.630491	-0.573428	0.0049	0.0348306	yes
32	XLOC_000571	Bra013674	EUCA	pk	OK	6.29556	48.5385	2.94672	1.29633	0.0053	0.0370815	yes
33	XLOC_000610	Bra013752	EUCA	pk	OK	1.32162	11.201	3.08325	1.12926	0.0065	0.0430455	yes
34	XLOC_000618	Bra013765	EUCA	pk	OK	15.2064	7.9588	-0.934052	-0.79231	2e-04	0.00326884	yes
35	XLOC_000629	Bra013786,Bra013788	EUCA	pk	OK	30.8977	17.0352	-0.858978	-0.815652	5e-05	0.00105935	yes
36	XLOC_000660	Bra013858,Bra013859	EUCA	pk	OK	504.428	267.415	-0.915567	-0.73439	1e-04	0.00189479	yes
37	XLOC_000669	Bra013873	EUCA	pk	OK	1.79806	9.03093	2.32844	1.28132	5e-05	0.00105935	yes
38	XLOC_000671	Bra013876	EUCA	pk	OK	1.92587	4.63319	1.26649	0.732437	0.00015	0.00261531	yes
39	XLOC_000680	Bra013895	EUCA	pk	OK	9.90079	25.5427	1.3673	1.07428	5e-05	0.00105935	yes
40	XLOC_000732	Bra026434,Bra026435	EUCA	pk	OK	4.08754	7.22575	0.821916	0.663551	0.0033	0.0264816	yes
41	XLOC_000776	Bra026323	EUCA	pk	OK	8.04495	2.93509	-1.45468	-0.705864	5e-05	0.00105935	yes
42	XLOC_000783	Bra026312,Bra026313	EUCA	pk	OK	43.596	27.3437	-0.672986	-0.62842	0.00255	0.021772	yes
43	XLOC_000813	Bra026238	EUCA	pk	OK	6.4289	15.5128	1.27081	0.624023	0.0035	0.0277162	yes
44	XLOC_000819	Bra026227	EUCA	pk	OK	18.9969	12.8822	-0.560386	-0.551167	0.00755	0.0475357	yes
45	XLOC_000856	Bra038470	EUCA	pk	OK	6.42005	19.9577	1.63629	0.917404	0.00075	0.00904593	yes
46	XLOC_000868	Bra038447,Bra038448	EUCA	pk	OK	10.4227	16.9162	0.698668	0.609509	0.00335	0.0268112	yes
47	XLOC_000872	Bra033547	EUCA	pk	OK	9.8818	3.00112	-1.71927	-0.874724	0.00075	0.00904593	yes
48	XLOC_000942	Bra036884,Bra036885	EUCA	pk	OK	285.578	112.943	-1.33829	-0.890377	1e-04	0.00189479	yes
49	XLOC_000957	Bra037607	EUCA	pk	OK	19.3559	35.6628	0.881646	0.833506	2e-04	0.00326884	yes
