Row.names	x	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
1	XLOC_000032	Bra011822	EUCA	sylv	OK	4.02284	10.0729	1.32419	0.990219	0.0063	0.0450818	yes
2	XLOC_000035	Bra011818,Bra011819	EUCA	sylv	OK	22.9773	44.2134	0.944272	0.927913	0.00055	0.00806195	yes
3	XLOC_000044	Bra011794,Bra011795	EUCA	sylv	OK	20.0586	1.45395	-3.78617	-1.33258	0.00015	0.00318717	yes
4	XLOC_000045	Bra011792	EUCA	sylv	OK	42.5916	19.2845	-1.14313	-1.21633	5e-05	0.00127487	yes
5	XLOC_000083	Bra011708	EUCA	sylv	OK	13.3234	1.73013	-2.94501	-0.984818	0.0024	0.0231149	yes
6	XLOC_000098	Bra011681,Bra011682,Bra011683,Bra011684	EUCA	sylv	OK	6.68322	2.21183	-1.59531	-0.892028	6e-04	0.00854912	yes
7	XLOC_000099	Bra011679	EUCA	sylv	OK	25.0225	44.3342	0.825193	0.937256	0.00255	0.0241279	yes
8	XLOC_000105	Bra011671	EUCA	sylv	OK	76.9218	37.113	-1.05147	-1.14298	0.00025	0.0046852	yes
9	XLOC_000116	Bra011655	EUCA	sylv	OK	4.52577	12.6016	1.47737	0.947772	0.00315	0.0279747	yes
10	XLOC_000150	Bra011586	EUCA	sylv	OK	6.87054	22.0265	1.68075	1.30621	0.0015	0.016385	yes
11	XLOC_000173	Bra011505	EUCA	sylv	OK	173.64	62.5529	-1.47295	-1.33279	3e-04	0.00539276	yes
12	XLOC_000187	Bra011469,Bra011470	EUCA	sylv	OK	13.2678	3.44001	-1.94744	-1.17419	0.00025	0.0046852	yes
13	XLOC_000202	Bra011439	EUCA	sylv	OK	10.2232	1.62084	-2.65703	-1.0484	0.0026	0.0243866	yes
14	XLOC_000216	Bra011412,Bra011414	EUCA	sylv	OK	21.3324	5.71985	-1.899	-1.38414	1e-04	0.00229054	yes
15	XLOC_000230	NA	EUCA	sylv	OK	0	7.36889	Inf	NA	5e-05	0.00127487	yes
16	XLOC_000239	Bra011363	EUCA	sylv	OK	0.5962	20.7986	5.12454	1.86602	0.00335	0.0291628	yes
17	XLOC_000245	Bra011349	EUCA	sylv	OK	14.8217	6.52912	-1.18275	-1.00334	0.00495	0.0383684	yes
18	XLOC_000289	Bra011236	EUCA	sylv	OK	26.3191	54.3884	1.04719	0.927899	0.0044	0.0352036	yes
19	XLOC_000354	Bra011078	EUCA	sylv	OK	29.2702	1.57062	-4.22002	-2.41234	5e-05	0.00127487	yes
20	XLOC_000357	Bra011069	EUCA	sylv	OK	9.13259	2.11855	-2.10794	-1.21248	0.00055	0.00806195	yes
21	XLOC_000359	Bra011063	EUCA	sylv	OK	0.377173	10.1226	4.74621	1.0366	0.00165	0.0174529	yes
22	XLOC_000379	Bra040178	EUCA	sylv	OK	3.99006	11.8726	1.57315	1.19507	0.00035	0.00601268	yes
23	XLOC_000421	Bra013341,Bra013342,Bra013344	EUCA	sylv	OK	9.83425	36.4274	1.88914	0.661157	0.0024	0.0231149	yes
24	XLOC_000457	Bra013428	EUCA	sylv	OK	35.9617	10.1335	-1.82732	-1.54436	5e-05	0.00127487	yes
25	XLOC_000554	Bra013632	EUCA	sylv	OK	32.1602	8.12669	-1.98454	-1.88916	5e-05	0.00127487	yes
26	XLOC_000583	Bra013697	EUCA	sylv	OK	27.8431	14.8773	-0.904207	-0.896914	0.0064	0.0454949	yes
27	XLOC_000628	Bra013785	EUCA	sylv	OK	10.8589	0.0829244	-7.03287	-0.156999	0.00115	0.0135882	yes
