Row.names	x	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
1	XLOC_000007	Bra011889	EUCA	tril	OK	13.7112	29.5194	1.10631	0.766402	0.00075	0.00311416	yes
2	XLOC_000021	Bra011846,Bra011847,Bra011848,Bra011849,Bra011850	EUCA	tril	OK	15.5498	27.501	0.822592	0.774954	0.0032	0.0104723	yes
3	XLOC_000034	Bra011820	EUCA	tril	OK	20.6864	8.09276	-1.35398	-1.32685	5e-05	0.000289444	yes
4	XLOC_000035	Bra011818,Bra011819	EUCA	tril	OK	23.0414	7.74914	-1.57212	-1.56728	5e-05	0.000289444	yes
5	XLOC_000036	Bra011812	EUCA	tril	OK	5.94275	0.590827	-3.33032	-0.424508	5e-05	0.000289444	yes
6	XLOC_000059	Bra011765,Bra011766	EUCA	tril	OK	31.2667	1.8579	-4.07288	-3.26669	5e-05	0.000289444	yes
7	XLOC_000061	Bra011757	EUCA	tril	OK	25.0807	15.512	-0.693192	-0.674035	0.00225	0.00785229	yes
8	XLOC_000065	Bra011750,Bra011751	EUCA	tril	OK	14.4054	10.1994	-0.498121	-0.556066	0.01195	0.0317827	yes
9	XLOC_000069	Bra011741	EUCA	tril	OK	3.37276	5.56292	0.721916	0.564276	0.0089	0.0247515	yes
10	XLOC_000072	Bra011734,Bra011735	EUCA	tril	OK	4.84012	7.52376	0.63641	0.604571	0.0082	0.0230801	yes
