Row.names	x	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
1	XLOC_000007	Bra011889	EUCA	tril	OK	13.7112	29.5194	1.10631	0.766402	0.00075	0.00311416	yes
2	XLOC_000021	Bra011846,Bra011847,Bra011848,Bra011849,Bra011850	EUCA	tril	OK	15.5498	27.501	0.822592	0.774954	0.0032	0.0104723	yes
3	XLOC_000034	Bra011820	EUCA	tril	OK	20.6864	8.09276	-1.35398	-1.32685	5e-05	0.000289444	yes
4	XLOC_000035	Bra011818,Bra011819	EUCA	tril	OK	23.0414	7.74914	-1.57212	-1.56728	5e-05	0.000289444	yes
5	XLOC_000036	Bra011812	EUCA	tril	OK	5.94275	0.590827	-3.33032	-0.424508	5e-05	0.000289444	yes
6	XLOC_000059	Bra011765,Bra011766	EUCA	tril	OK	31.2667	1.8579	-4.07288	-3.26669	5e-05	0.000289444	yes
7	XLOC_000061	Bra011757	EUCA	tril	OK	25.0807	15.512	-0.693192	-0.674035	0.00225	0.00785229	yes
8	XLOC_000065	Bra011750,Bra011751	EUCA	tril	OK	14.4054	10.1994	-0.498121	-0.556066	0.01195	0.0317827	yes
9	XLOC_000069	Bra011741	EUCA	tril	OK	3.37276	5.56292	0.721916	0.564276	0.0089	0.0247515	yes
10	XLOC_000072	Bra011734,Bra011735	EUCA	tril	OK	4.84012	7.52376	0.63641	0.604571	0.0082	0.0230801	yes
11	XLOC_000073	Bra011733	EUCA	tril	OK	7.26842	1.98189	-1.87476	-1.17685	5e-05	0.000289444	yes
12	XLOC_000076	Bra011723	EUCA	tril	OK	2.42412	5.6395	1.21811	0.842327	0.00055	0.00240088	yes
13	XLOC_000083	Bra011708	EUCA	tril	OK	13.3721	5.7154	-1.2263	-0.748812	0.0032	0.0104723	yes
14	XLOC_000087	Bra011701	EUCA	tril	OK	12.4115	29.5035	1.2492	1.03721	0.00025	0.00121664	yes
15	XLOC_000089	Bra011698,Bra011699	EUCA	tril	OK	2.93096	5.88409	1.00544	0.807326	1e-04	0.000540646	yes
16	XLOC_000090	Bra011697	EUCA	tril	OK	5.62659	2.4898	-1.17623	-0.796268	0.00145	0.00541842	yes
17	XLOC_000095	Bra011689,Bra011690	EUCA	tril	OK	26.1481	50.8003	0.958129	0.92623	3e-04	0.0014244	yes
18	XLOC_000098	Bra011681,Bra011682,Bra011683,Bra011684	EUCA	tril	OK	6.70659	0.423864	-3.98391	-1.20132	5e-05	0.000289444	yes
19	XLOC_000114	Bra011657,Bra011659	EUCA	tril	OK	2.86541	6.109	1.09219	0.855345	0.00025	0.00121664	yes
20	XLOC_000116	Bra011655	EUCA	tril	OK	4.53806	9.42798	1.05487	0.78131	0.0021	0.0074206	yes
21	XLOC_000121	Bra011642	EUCA	tril	OK	33.9566	61.4886	0.856626	1.06335	5e-05	0.000289444	yes
22	XLOC_000123	Bra011635	EUCA	tril	OK	11.1086	1.3235	-3.06925	-0.758134	5e-05	0.000289444	yes
23	XLOC_000133	Bra011615	EUCA	tril	OK	9.32312	5.60957	-0.732923	-0.675685	0.0045	0.0139395	yes
24	XLOC_000134	Bra011609	EUCA	tril	OK	7.90247	1.69167	-2.22386	-1.33394	5e-05	0.000289444	yes
25	XLOC_000141	Bra011600	EUCA	tril	OK	4.66134	9.2716	0.992074	1.00087	1e-04	0.000540646	yes
26	XLOC_000142	Bra011599	EUCA	tril	OK	10.2218	4.11428	-1.31293	-0.995528	5e-05	0.000289444	yes
27	XLOC_000144	Bra011596	EUCA	tril	OK	5.325	2.24497	-1.24609	-0.894614	5e-05	0.000289444	yes
28	XLOC_000150	Bra011586	EUCA	tril	OK	6.89658	2.30005	-1.58422	-0.906454	6e-04	0.00258753	yes
29	XLOC_000151	Bra011584	EUCA	tril	OK	10.9393	2.36925	-2.20702	-0.776886	0.00015	0.00077576	yes
30	XLOC_000155	Bra011573	EUCA	tril	OK	6.22279	20.8539	1.74469	1.58675	5e-05	0.000289444	yes
31	XLOC_000160	Bra011556,Bra011557,Bra011558	EUCA	tril	OK	43.5031	72.7439	0.741706	0.874219	5e-05	0.000289444	yes
32	XLOC_000161	Bra011554,Bra011555	EUCA	tril	OK	24.1833	41.1102	0.765481	0.739453	0.00805	0.0227116	yes
33	XLOC_000168	Bra011521,Bra011522	EUCA	tril	OK	4.9891	8.89149	0.833645	0.504388	0.0194	0.0474966	yes
34	XLOC_000172	Bra011506,Bra011507,Bra011508	EUCA	tril	OK	6.52321	2.02299	-1.68909	-0.800604	5e-05	0.000289444	yes
35	XLOC_000173	Bra011505	EUCA	tril	OK	174.375	24.3442	-2.84054	-2.25723	5e-05	0.000289444	yes
36	XLOC_000198	Bra011445,Bra011446,Bra011447	EUCA	tril	OK	41.0552	92.7054	1.17509	0.830517	0.0021	0.0074206	yes
37	XLOC_000208	Bra011425,Bra011426,Bra011427	EUCA	tril	OK	8.46433	14.8484	0.81084	0.624551	0.0011	0.00430248	yes
38	XLOC_000222	Bra011398	EUCA	tril	OK	40.3997	76.436	0.919909	0.984448	5e-05	0.000289444	yes
39	XLOC_000225	Bra011392	EUCA	tril	OK	9.15986	5.57114	-0.717353	-0.695744	0.00255	0.0086487	yes
40	XLOC_000244	Bra011350	EUCA	tril	OK	10.5835	5.75001	-0.880179	-0.646992	0.00405	0.0127481	yes
41	XLOC_000245	Bra011349	EUCA	tril	OK	14.8763	8.21496	-0.856691	-0.791958	0.00095	0.00378763	yes
42	XLOC_000251	Bra011324,Bra011325	EUCA	tril	OK	5.53229	12.2657	1.14868	0.166675	0.00655	0.0191499	yes
43	XLOC_000283	Bra011250	EUCA	tril	OK	2.49158	6.82871	1.45455	0.623538	0.00585	0.0174459	yes
44	XLOC_000286	Bra011243	EUCA	tril	OK	16.7733	26.6404	0.66745	0.644456	0.0039	0.012385	yes
45	XLOC_000289	Bra011236	EUCA	tril	OK	26.3852	2.43392	-3.43838	-1.81505	5e-05	0.000289444	yes
46	XLOC_000291	Bra011232,Bra011233	EUCA	tril	OK	28.4639	11.3808	-1.32253	-1.22611	5e-05	0.000289444	yes
47	XLOC_000296	Bra011211,Bra011218	EUCA	tril	OK	6.27704	1.91358	-1.71381	-0.706555	5e-05	0.000289444	yes
48	XLOC_000297	Bra011216	EUCA	tril	OK	23.792	0.0208317	-10.1575	-0.294866	5e-05	0.000289444	yes
49	XLOC_000313	Bra011180,Bra011181	EUCA	tril	OK	9.12786	3.35515	-1.4439	-0.828516	2e-04	0.00100431	yes
50	XLOC_000314	Bra011178,Bra011179	EUCA	tril	OK	10.0295	4.5951	-1.12609	-0.869244	5e-05	0.000289444	yes
51	XLOC_000330	Bra011132	EUCA	tril	OK	6.41902	2.63277	-1.28577	-1.0006	2e-04	0.00100431	yes
52	XLOC_000332	Bra011127,Bra011128,Bra011129,Bra011130	EUCA	tril	OK	38.1228	5.03451	-2.92073	-1.84914	5e-05	0.000289444	yes
53	XLOC_000344	Bra011094,Bra011096	EUCA	tril	OK	7.36503	4.31986	-0.769707	-0.586792	0.0077	0.0218912	yes
54	XLOC_000348	Bra011089	EUCA	tril	OK	17.0885	5.88907	-1.53691	-1.41392	5e-05	0.000289444	yes
55	XLOC_000349	Bra011087	EUCA	tril	OK	15.3945	9.61281	-0.679389	-0.617357	0.0033	0.0107536	yes
56	XLOC_000354	Bra011078	EUCA	tril	OK	29.4084	5.05809	-2.53957	-1.83979	5e-05	0.000289444	yes
