x,y1,z1,y2,z2,y3,z3,y4,z4,y5,z5,y6,z6,y7,z7,y8,z8,y9,z9,x,y1,z1,y2,z2,y3,z3,y4,z4,y5,z5,y6,z6,y7,z7,y8,z8,y9,z9,x,y1,z1,y2,z2,y3,z3,y4,z4,y5,z5,y6,z6,y7,z7,y8,z8,y9,z9,x,y1,z1,y2,z2,y3,z3,y4,z4,y5,z5,y6,z6,y7,z7,y8,z8,y9,z9,x,y1,z1,y2,z2,y3,z3,y4,z4,y5,z5,y6,z6,y7,z7,y8,z8,y9,z9,x,y1,z1,y2,z2,y3,z3,y4,z4,y5,z5,y6,z6,y7,z7,y8,z8,y9,z9,x,y1,z1,y2,z2,y3,z3,y4,z4,y5,z5,y6,z6,y7,z7,y8,z8,y9,z9,x,y1,z1,y2,z2,y3,z3,y4,z4,y5,z5,y6,z6,y7,z7,y8,z8,y9,z9
0.32,0,0.17,0.1,0.19,0.2,0.17,0.3,0.18,0.4,0.2,0.5,0.26,0.6,0.16,0.7,0.13,0.8,0.17,0.32,0,0.16,0.1,0.19,0.2,0.17,0.3,0.18,0.4,0.21,0.5,0.2,0.6,0.15,0.7,0.17,0.8,0.18,0.32,0,0.21,0.1,0.2,0.2,0.25,0.3,0.17,0.4,0.19,0.5,0.22,0.6,0.2,0.7,0.16,0.8,0.18,0.32,0,0.21,0.1,0.2,0.2,0.25,0.3,0.17,0.4,0.19,0.5,0.22,0.6,0.2,0.7,0.16,0.8,0.18,0.32,0,0.21,0.1,0.2,0.2,0.25,0.3,0.17,0.4,0.19,0.5,0.22,0.6,0.2,0.7,0.16,0.8,0.18,0.32,0,0.21,0.1,0.2,0.2,0.17,0.3,0.18,0.4,0.19,0.5,0.2,0.6,0.24,0.7,0.17,0.8,0.22,0.32,0,0.16,0.1,0.16,0.2,0.17,0.3,0.17,0.4,0.19,0.5,0.14,0.6,0.19,0.7,0.16,0.8,0.16,0.32,0,0.15,0.1,0.16,0.2,0.18,0.3,0.17,0.4,0.16,0.5,0.19,0.6,0.2,0.7,0.16,0.8,0.15
2.32,0,0.17,0.1,0.18,0.2,0.18,0.3,0.18,0.4,0.17,0.5,0.21,0.6,0.16,0.7,0.14,0.8,0.19,2.32,0,0.15,0.1,0.12,0.2,0.15,0.3,0.16,0.4,0.21,0.5,0.2,0.6,0.17,0.7,0.17,0.8,0.18,2.32,0,0.21,0.1,0.19,0.2,0.27,0.3,0.18,0.4,0.18,0.5,0.23,0.6,0.19,0.7,0.16,0.8,0.16,2.32,0,0.21,0.1,0.19,0.2,0.27,0.3,0.18,0.4,0.18,0.5,0.23,0.6,0.19,0.7,0.16,0.8,0.16,2.32,0,0.21,0.1,0.19,0.2,0.27,0.3,0.18,0.4,0.18,0.5,0.23,0.6,0.19,0.7,0.16,0.8,0.16,2.32,0,0.21,0.1,0.2,0.2,0.16,0.3,0.2,0.4,0.18,0.5,0.21,0.6,0.25,0.7,0.15,0.8,0.2,2.32,0,0.17,0.1,0.16,0.2,0.17,0.3,0.17,0.4,0.19,0.5,0.14,0.6,0.19,0.7,0.15,0.8,0.16,2.32,0,0.15,0.1,0.17,0.2,0.18,0.3,0.17,0.4,0.17,0.5,0.18,0.6,0.19,0.7,0.17,0.8,0.16
4.31,0,0.18,0.1,0.2,0.2,0.17,0.3,0.2,0.4,0.19,0.5,0.22,0.6,0.16,0.7,0.14,0.8,0.17,4.31,0,0.18,0.1,0.07,0.2,0.14,0.3,0.17,0.4,0.22,0.5,0.19,0.6,0.16,0.7,0.17,0.8,0.18,4.31,0,0.21,0.1,0.2,0.2,0.24,0.3,0.17,0.4,0.2,0.5,0.22,0.6,0.19,0.7,0.16,0.8,0.18,4.31,0,0.21,0.1,0.2,0.2,0.24,0.3,0.17,0.4,0.2,0.5,0.22,0.6,0.19,0.7,0.16,0.8,0.18,4.31,0,0.21,0.1,0.2,0.2,0.24,0.3,0.17,0.4,0.2,0.5,0.22,0.6,0.19,0.7,0.16,0.8,0.18,4.31,0,0.21,0.1,0.2,0.2,0.18,0.3,0.18,0.4,0.19,0.5,0.19,0.6,0.22,0.7,0.15,0.8,0.21,4.31,0,0.17,0.1,0.17,0.2,0.16,0.3,0.18,0.4,0.19,0.5,0.14,0.6,0.2,0.7,0.16,0.8,0.16,4.31,0,0.16,0.1,0.17,0.2,0.18,0.3,0.17,0.4,0.16,0.5,0.17,0.6,0.2,0.7,0.17,0.8,0.15
6.31,0,0.16,0.1,0.19,0.2,0.18,0.3,0.16,0.4,0.16,0.5,0.23,0.6,0.15,0.7,0.13,0.8,0.17,6.31,0,0.2,0.1,0.15,0.2,0.17,0.3,0.17,0.4,0.22,0.5,0.18,0.6,0.17,0.7,0.16,0.8,0.18,6.31,0,0.22,0.1,0.21,0.2,0.24,0.3,0.18,0.4,0.19,0.5,0.22,0.6,0.18,0.7,0.17,0.8,0.18,6.31,0,0.22,0.1,0.21,0.2,0.24,0.3,0.18,0.4,0.19,0.5,0.22,0.6,0.18,0.7,0.17,0.8,0.18,6.31,0,0.22,0.1,0.21,0.2,0.24,0.3,0.18,0.4,0.19,0.5,0.22,0.6,0.18,0.7,0.17,0.8,0.18,6.31,0,0.21,0.1,0.2,0.2,0.18,0.3,0.19,0.4,0.18,0.5,0.2,0.6,0.22,0.7,0.16,0.8,0.2,6.31,0,0.17,0.1,0.18,0.2,0.16,0.3,0.17,0.4,0.19,0.5,0.14,0.6,0.18,0.7,0.15,0.8,0.16,6.31,0,0.16,0.1,0.18,0.2,0.18,0.3,0.16,0.4,0.14,0.5,0.19,0.6,0.19,0.7,0.15,0.8,0.15
8.35,0,0.17,0.1,0.18,0.2,0.16,0.3,0.15,0.4,0.19,0.5,0.26,0.6,0.15,0.7,0.14,0.8,0.18,8.35,0,0.18,0.1,0.17,0.2,0.17,0.3,0.16,0.4,0.22,0.5,0.2,0.6,0.17,0.7,0.16,0.8,0.16,8.35,0,0.22,0.1,0.2,0.2,0.25,0.3,0.17,0.4,0.19,0.5,0.21,0.6,0.19,0.7,0.16,0.8,0.18,8.35,0,0.22,0.1,0.2,0.2,0.25,0.3,0.17,0.4,0.19,0.5,0.21,0.6,0.19,0.7,0.16,0.8,0.18,8.35,0,0.22,0.1,0.2,0.2,0.25,0.3,0.17,0.4,0.19,0.5,0.21,0.6,0.19,0.7,0.16,0.8,0.18,8.35,0,0.22,0.1,0.2,0.2,0.17,0.3,0.2,0.4,0.18,0.5,0.19,0.6,0.18,0.7,0.16,0.8,0.2,8.35,0,0.16,0.1,0.17,0.2,0.17,0.3,0.17,0.4,0.21,0.5,0.14,0.6,0.2,0.7,0.15,0.8,0.16,8.35,0,0.16,0.1,0.16,0.2,0.19,0.3,0.17,0.4,0.15,0.5,0.19,0.6,0.19,0.7,0.16,0.8,0.16
10.33,0,0.16,0.1,0.19,0.2,0.19,0.3,0.13,0.4,0.16,0.5,0.25,0.6,0.16,0.7,0.13,0.8,0.17,10.33,0,0.2,0.1,0.11,0.2,0.14,0.3,0.17,0.4,0.22,0.5,0.21,0.6,0.16,0.7,0.17,0.8,0.18,10.33,0,0.22,0.1,0.21,0.2,0.25,0.3,0.17,0.4,0.19,0.5,0.23,0.6,0.2,0.7,0.16,0.8,0.17,10.33,0,0.22,0.1,0.21,0.2,0.25,0.3,0.17,0.4,0.19,0.5,0.23,0.6,0.2,0.7,0.16,0.8,0.17,10.33,0,0.22,0.1,0.21,0.2,0.25,0.3,0.17,0.4,0.19,0.5,0.23,0.6,0.2,0.7,0.16,0.8,0.17,10.33,0,0.21,0.1,0.2,0.2,0.18,0.3,0.19,0.4,0.18,0.5,0.19,0.6,0.2,0.7,0.15,0.8,0.21,10.33,0,0.16,0.1,0.16,0.2,0.15,0.3,0.16,0.4,0.19,0.5,0.13,0.6,0.19,0.7,0.16,0.8,0.17,10.33,0,0.16,0.1,0.16,0.2,0.17,0.3,0.17,0.4,0.16,0.5,0.18,0.6,0.21,0.7,0.16,0.8,0.16
12.32,0,0.17,0.1,0.19,0.2,0.19,0.3,0.17,0.4,0.16,0.5,0.2,0.6,0.15,0.7,0.14,0.8,0.19,12.32,0,0.19,0.1,0.12,0.2,0.16,0.3,0.16,0.4,0.23,0.5,0.19,0.6,0.16,0.7,0.17,0.8,0.17,12.32,0,0.22,0.1,0.2,0.2,0.24,0.3,0.18,0.4,0.2,0.5,0.23,0.6,0.19,0.7,0.15,0.8,0.18,12.32,0,0.22,0.1,0.2,0.2,0.24,0.3,0.18,0.4,0.2,0.5,0.23,0.6,0.19,0.7,0.15,0.8,0.18,12.32,0,0.22,0.1,0.2,0.2,0.24,0.3,0.18,0.4,0.2,0.5,0.23,0.6,0.19,0.7,0.15,0.8,0.18,12.32,0,0.21,0.1,0.2,0.2,0.2,0.3,0.2,0.4,0.19,0.5,0.18,0.6,0.19,0.7,0.15,0.8,0.19,12.32,0,0.17,0.1,0.17,0.2,0.16,0.3,0.17,0.4,0.2,0.5,0.14,0.6,0.19,0.7,0.18,0.8,0.18,12.32,0,0.17,0.1,0.16,0.2,0.18,0.3,0.16,0.4,0.15,0.5,0.19,0.6,0.2,0.7,0.17,0.8,0.16
14.34,0,0.18,0.1,0.18,0.2,0.18,0.3,0.16,0.4,0.18,0.5,0.22,0.6,0.17,0.7,0.13,0.8,0.19,14.34,0,0.19,0.1,0.18,0.2,0.16,0.3,0.17,0.4,0.21,0.5,0.19,0.6,0.17,0.7,0.16,0.8,0.17,14.34,0,0.23,0.1,0.2,0.2,0.25,0.3,0.19,0.4,0.19,0.5,0.22,0.6,0.19,0.7,0.15,0.8,0.17,14.34,0,0.23,0.1,0.2,0.2,0.25,0.3,0.19,0.4,0.19,0.5,0.22,0.6,0.19,0.7,0.15,0.8,0.17,14.34,0,0.23,0.1,0.2,0.2,0.25,0.3,0.19,0.4,0.19,0.5,0.22,0.6,0.19,0.7,0.15,0.8,0.17,14.34,0,0.23,0.1,0.2,0.2,0.18,0.3,0.2,0.4,0.18,0.5,0.18,0.6,0.2,0.7,0.15,0.8,0.19,14.34,0,0.18,0.1,0.16,0.2,0.16,0.3,0.18,0.4,0.21,0.5,0.14,0.6,0.19,0.7,0.2,0.8,0.17,14.34,0,0.16,0.1,0.16,0.2,0.18,0.3,0.16,0.4,0.15,0.5,0.18,0.6,0.2,0.7,0.15,0.8,0.15
16.31,0,0.18,0.1,0.19,0.2,0.18,0.3,0.15,0.4,0.17,0.5,0.23,0.6,0.16,0.7,0.15,0.8,0.18,16.31,0,0.23,0.1,0.18,0.2,0.19,0.3,0.16,0.4,0.21,0.5,0.2,0.6,0.17,0.7,0.17,0.8,0.17,16.31,0,0.22,0.1,0.2,0.2,0.22,0.3,0.17,0.4,0.18,0.5,0.22,0.6,0.19,0.7,0.14,0.8,0.19,16.31,0,0.22,0.1,0.2,0.2,0.22,0.3,0.17,0.4,0.18,0.5,0.22,0.6,0.19,0.7,0.14,0.8,0.19,16.31,0,0.22,0.1,0.2,0.2,0.22,0.3,0.17,0.4,0.18,0.5,0.22,0.6,0.19,0.7,0.14,0.8,0.19,16.31,0,0.22,0.1,0.2,0.2,0.18,0.3,0.19,0.4,0.19,0.5,0.2,0.6,0.22,0.7,0.16,0.8,0.21,16.31,0,0.17,0.1,0.17,0.2,0.16,0.3,0.16,0.4,0.18,0.5,0.14,0.6,0.19,0.7,0.18,0.8,0.21,16.31,0,0.16,0.1,0.17,0.2,0.17,0.3,0.16,0.4,0.16,0.5,0.18,0.6,0.21,0.7,0.16,0.8,0.16
18.31,0,0.18,0.1,0.18,0.2,0.19,0.3,0.18,0.4,0.18,0.5,0.23,0.6,0.15,0.7,0.14,0.8,0.18,18.31,0,0.21,0.1,0.14,0.2,0.17,0.3,0.16,0.4,0.22,0.5,0.18,0.6,0.16,0.7,0.18,0.8,0.17,18.31,0,0.22,0.1,0.2,0.2,0.25,0.3,0.17,0.4,0.19,0.5,0.24,0.6,0.2,0.7,0.15,0.8,0.17,18.31,0,0.22,0.1,0.2,0.2,0.25,0.3,0.17,0.4,0.19,0.5,0.24,0.6,0.2,0.7,0.15,0.8,0.17,18.31,0,0.22,0.1,0.2,0.2,0.25,0.3,0.17,0.4,0.19,0.5,0.24,0.6,0.2,0.7,0.15,0.8,0.17,18.31,0,0.22,0.1,0.2,0.2,0.18,0.3,0.19,0.4,0.18,0.5,0.17,0.6,0.2,0.7,0.14,0.8,0.2,18.31,0,0.17,0.1,0.16,0.2,0.17,0.3,0.17,0.4,0.22,0.5,0.14,0.6,0.19,0.7,0.17,0.8,0.22,18.31,0,0.16,0.1,0.17,0.2,0.17,0.3,0.17,0.4,0.15,0.5,0.18,0.6,0.2,0.7,0.18,0.8,0.16
