Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
ACURA RDX,2,4,SemiAuto-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,KHNXT02.0823,small SUV,6,22,28,24,5,No,370
ACURA RDX,2,4,SemiAuto-10,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KHNXT02.0823,small SUV,6,22,28,24,5,No,370
ACURA RDX,2,4,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,KHNXT02.0823,small SUV,6,21,27,23,5,No,385
ACURA RDX,2,4,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KHNXT02.0823,small SUV,6,21,27,23,5,No,385
ACURA RDX A-SPEC,2,4,SemiAuto-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,KHNXT02.0923,small SUV,6,22,27,24,5,No,374
ACURA RDX A-SPEC,2,4,SemiAuto-10,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KHNXT02.0923,small SUV,6,22,27,24,5,No,374
ACURA RDX A-SPEC,2,4,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,KHNXT02.0923,small SUV,6,21,26,23,5,No,385
ACURA RDX A-SPEC,2,4,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KHNXT02.0923,small SUV,6,21,26,23,5,No,385
ACURA TLX,2.4,4,AMS-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV02.4VH3,small car,3,23,33,27,6,No,330
ACURA TLX,2.4,4,AMS-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV02.4VH3,small car,3,23,33,27,6,No,330
ACURA TLX,3.5,6,SemiAuto-9,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV03.5HH3,small car,3,20,31,24,5,No,376
ACURA TLX,3.5,6,SemiAuto-9,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV03.5HH3,small car,3,20,31,24,5,No,376
ACURA TLX,3.5,6,SemiAuto-9,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV03.5HH3,small car,3,20,29,23,5,No,379
ACURA TLX,3.5,6,SemiAuto-9,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV03.5HH3,small car,3,20,29,23,5,No,379
