CHROM-BIN_START-BIN_END,N_VARIANTS,WEIGHTED_FST,MEAN_FST
A01-1-100000,19,0.180319,0.136496
A01-25001-125000,16,0.292966,0.19912
A01-50001-150000,21,0.332338,0.22842
A01-75001-175000,23,0.325705,0.21846
A01-100001-200000,19,0.284553,0.191133
A01-125001-225000,18,0.234312,0.164023
A01-150001-250000,19,0.096687,0.0963386
A01-175001-275000,26,0.139813,0.119406
A01-200001-300000,27,0.136636,0.112204
A01-225001-325000,22,0.149809,0.123984
A01-250001-350000,27,0.199679,0.16206
A01-275001-375000,17,0.198333,0.169911
A01-300001-400000,17,0.188093,0.151156
A01-325001-425000,21,0.16519,0.121771
A01-350001-450000,11,0.0467347,0.0436071
A01-375001-475000,24,0.231139,0.193689
A01-400001-500000,27,0.270863,0.237857
A01-425001-525000,22,0.297416,0.283941
A01-450001-550000,22,0.306405,0.29346
A01-475001-575000,17,0.235737,0.176243
A01-500001-600000,9,0.150414,0.10863
A01-525001-625000,13,0.106833,0.0748619
A01-550001-650000,22,0.136705,0.0837701
A01-575001-675000,22,0.0927634,0.0638588
A01-600001-700000,22,0.0927634,0.0638588
A01-625001-725000,22,0.12293,0.0995547
A01-650001-750000,25,0.164073,0.13302
A01-675001-775000,17,0.221744,0.179686
A01-700001-800000,19,0.219846,0.176354
A01-725001-825000,17,0.253523,0.202845
A01-750001-850000,4,0.343229,0.293635
A01-775001-875000,4,0.343229,0.293635
A01-800001-900000,2,0.439419,0.439236
A01-825001-925000,7,0.229686,0.174609
A01-850001-950000,13,0.206635,0.16433
A01-875001-975000,14,0.21011,0.171028
A01-900001-1000000,16,0.224219,0.180799
A01-925001-1025000,9,0.217383,0.185613
A01-950001-1050000,3,0.307393,0.252166
A01-975001-1075000,2,0.333063,0.249196
A01-1000001-1100000,8,0.182832,0.155268
A01-1025001-1125000,12,0.239236,0.152795
A01-1050001-1150000,29,0.139794,0.111379
A01-1075001-1175000,29,0.139794,0.111379
A01-1100001-1200000,21,0.124601,0.0946596
A01-1125001-1225000,17,0.0808012,0.0821446
A01-1200001-1300000,8,0.212555,0.175746
A01-1225001-1325000,11,0.214904,0.178669
A01-1250001-1350000,11,0.214904,0.178669
A01-1275001-1375000,12,0.200494,0.164261
A01-1300001-1400000,4,0.172763,0.14129
A01-1325001-1425000,10,0.102443,0.0994842
A01-1350001-1450000,21,0.188872,0.172251
A01-1375001-1475000,25,0.169288,0.14397
A01-1400001-1500000,25,0.169288,0.14397
A01-1425001-1525000,16,0.21602,0.163136
A01-1450001-1550000,9,0.320466,0.194627
A01-1475001-1575000,4,0.469884,0.440974
A01-1500001-1600000,4,0.469884,0.440974
A01-1525001-1625000,6,0.486663,0.467884
A01-1550001-1650000,4,0.493439,0.46526
A01-1575001-1675000,18,0.236593,0.189265
A01-1600001-1700000,28,0.263077,0.209436
A01-1625001-1725000,38,0.277816,0.207928
A01-1650001-1750000,36,0.266232,0.196767
A01-1675001-1775000,24,0.327888,0.231519
A01-1700001-1800000,30,0.206711,0.117355
A01-1725001-1825000,22,0.0275649,0.0192681
A01-1750001-1850000,22,0.0275649,0.0192681
A01-1775001-1875000,22,0.043898,0.0308386
A01-1800001-1900000,7,0.044168,0.0323421
A01-1825001-1925000,12,0.180023,0.136771
A01-1850001-1950000,12,0.180023,0.136771
A01-1875001-1975000,13,0.144521,0.102567
A01-1900001-2000000,19,0.129407,0.101695
A01-1925001-2025000,13,0.129745,0.120748
A01-1950001-2050000,13,0.129745,0.120748
A01-1975001-2075000,10,0.166233,0.160447
A01-2000001-2100000,8,0.211694,0.174843
A01-2025001-2125000,10,0.117056,0.106048
A01-2050001-2150000,15,0.126498,0.107012
A01-2075001-2175000,17,0.127389,0.106799
A01-2100001-2200000,12,0.139527,0.121073
A01-2125001-2225000,13,0.131305,0.10379
A01-2150001-2250000,13,0.150971,0.129638
A01-2175001-2275000,11,0.155223,0.134082
A01-2200001-2300000,19,0.129718,0.122439
A01-2225001-2325000,47,0.276232,0.204094
A01-2250001-2350000,45,0.283731,0.200875
A01-2275001-2375000,45,0.283731,0.200875
A01-2300001-2400000,42,0.332988,0.234669
A01-2325001-2425000,13,0.266834,0.156223
A01-2350001-2450000,10,0.303168,0.170318
A01-2375001-2475000,10,0.303168,0.170318
A01-2400001-2500000,5,0.00689278,0.00700599
A01-2425001-2525000,6,0.476032,0.410907
A01-2450001-2550000,20,0.330097,0.246608
A01-2475001-2575000,25,0.300391,0.233758
A01-2500001-2600000,32,0.32795,0.231772
A01-2525001-2625000,29,0.290461,0.203585
A01-2550001-2650000,30,0.276449,0.189241
A01-2575001-2675000,27,0.273598,0.176375
A01-2600001-2700000,21,0.260064,0.181407
A01-2625001-2725000,25,0.217265,0.163486
A01-2650001-2750000,12,0.210887,0.157421
A01-2675001-2775000,10,0.244681,0.189234
A01-2700001-2800000,13,0.170683,0.147805
A01-2725001-2825000,6,0.134245,0.115192
A01-2750001-2850000,6,0.129667,0.143656
A01-2775001-2875000,6,0.129667,0.143656
A01-2800001-2900000,15,0.230711,0.161049
A01-2825001-2925000,15,0.230711,0.161049
A01-2850001-2950000,22,0.180636,0.103837
A01-2875001-2975000,25,0.169802,0.0989442
A01-2900001-3000000,18,0.0514366,0.0314443
A01-2925001-3025000,22,0.112583,0.0741669
A01-2950001-3050000,16,0.20584,0.141839
A01-2975001-3075000,14,0.210703,0.15095
A01-3000001-3100000,13,0.254806,0.16894
