CHROM-BIN_START-BIN_END,N_VARIANTS,WEIGHTED_FST,MEAN_FST
A01-1-100000,17,0.407384,0.324167
A01-25001-125000,12,0.444837,0.323156
A01-50001-150000,18,0.524638,0.388741
A01-75001-175000,20,0.522558,0.384471
A01-100001-200000,16,0.453509,0.277754
A01-125001-225000,16,0.554795,0.41109
A01-150001-250000,15,0.394313,0.300058
A01-175001-275000,21,0.37183,0.261771
A01-200001-300000,24,0.356209,0.246781
A01-225001-325000,20,0.26204,0.161845
A01-250001-350000,26,0.248651,0.141815
A01-275001-375000,17,0.182761,0.115538
A01-300001-400000,16,0.272506,0.143908
A01-325001-425000,19,0.250572,0.132091
A01-350001-450000,9,0.285751,0.105484
A01-375001-475000,20,0.630101,0.384896
A01-400001-500000,24,0.496612,0.319132
A01-425001-525000,20,0.528339,0.374572
A01-450001-550000,20,0.539509,0.384687
A01-475001-575000,16,0.260841,0.200192
A01-500001-600000,8,0.396902,0.299122
A01-525001-625000,11,0.379657,0.253
A01-550001-650000,20,0.314791,0.209806
A01-575001-675000,21,0.196809,0.110318
A01-600001-700000,21,0.196809,0.110318
A01-625001-725000,20,0.178187,0.109167
A01-650001-750000,21,0.175383,0.0919439
A01-675001-775000,13,0.224072,0.119415
A01-700001-800000,14,0.216621,0.108886
A01-725001-825000,12,0.222171,0.105643
A01-750001-850000,1,-0.0279892,-0.0279892
A01-775001-875000,1,-0.0279892,-0.0279892
A01-825001-925000,6,0.349008,0.313601
A01-850001-950000,11,0.300258,0.172564
A01-875001-975000,12,0.367972,0.225472
A01-900001-1000000,14,0.362589,0.187807
A01-925001-1025000,8,0.397779,0.0934623
A01-950001-1050000,3,0.730171,0.243701
A01-975001-1075000,2,-0.0382809,-0.03818
A01-1000001-1100000,7,0.282656,0.14526
A01-1025001-1125000,11,0.420127,0.171131
A01-1050001-1150000,28,0.317316,0.137151
A01-1075001-1175000,28,0.317316,0.137151
A01-1100001-1200000,21,0.329694,0.134447
A01-1125001-1225000,17,0.248258,0.115164
A01-1200001-1300000,7,0.183382,0.120322
A01-1225001-1325000,10,0.199907,0.157002
A01-1250001-1350000,10,0.199907,0.157002
A01-1275001-1375000,11,0.190304,0.149009
A01-1300001-1400000,4,0.201169,0.199212
A01-1325001-1425000,10,0.511459,0.397254
A01-1350001-1450000,20,0.572983,0.425913
A01-1375001-1475000,24,0.545209,0.36148
A01-1400001-1500000,24,0.545209,0.36148
A01-1425001-1525000,15,0.554307,0.318137
A01-1450001-1550000,9,0.535106,0.306465
A01-1475001-1575000,4,0.676401,0.632961
A01-1500001-1600000,4,0.676401,0.632961
A01-1525001-1625000,6,0.721873,0.683153
A01-1550001-1650000,4,0.641513,0.557064
A01-1575001-1675000,18,0.37556,0.255829
A01-1600001-1700000,28,0.298464,0.184186
A01-1625001-1725000,38,0.262781,0.175371
A01-1650001-1750000,36,0.253215,0.166747
A01-1675001-1775000,23,0.249619,0.156352
A01-1700001-1800000,29,0.447102,0.343801
A01-1725001-1825000,21,0.456418,0.373974
A01-1750001-1850000,21,0.456418,0.373974
A01-1775001-1875000,22,0.512145,0.402788
A01-1800001-1900000,7,0.474767,0.323471
A01-1825001-1925000,11,0.424919,0.301704
A01-1850001-1950000,11,0.424919,0.301704
A01-1875001-1975000,12,0.284365,0.210393
A01-1900001-2000000,18,0.279718,0.190281
A01-1925001-2025000,12,0.222131,0.105729
A01-1950001-2050000,12,0.222131,0.105729
A01-1975001-2075000,9,0.267326,0.12056
A01-2000001-2100000,6,0.130526,0.0416821
A01-2025001-2125000,9,0.145243,0.10371
A01-2050001-2150000,14,0.12205,0.0834188
A01-2075001-2175000,16,0.110776,0.0725778
A01-2100001-2200000,12,0.0993197,0.0638726
A01-2125001-2225000,13,0.137111,0.0795771
A01-2150001-2250000,14,0.401967,0.20375
A01-2175001-2275000,12,0.448735,0.23826
A01-2200001-2300000,20,0.345726,0.215699
A01-2225001-2325000,49,0.467722,0.335716
A01-2250001-2350000,46,0.447919,0.321882
A01-2275001-2375000,46,0.447919,0.321882
A01-2300001-2400000,42,0.478191,0.323484
A01-2325001-2425000,9,0.142826,0.0700651
A01-2350001-2450000,6,0.0317639,0.036935
A01-2375001-2475000,6,0.0317639,0.036935
A01-2400001-2500000,2,0.00704593,-0.00650162
A01-2425001-2525000,6,0.619338,0.40608
A01-2450001-2550000,16,0.565221,0.411743
A01-2475001-2575000,23,0.537073,0.377846
A01-2500001-2600000,29,0.598714,0.426997
A01-2525001-2625000,25,0.57453,0.423768
A01-2550001-2650000,30,0.510905,0.382554
A01-2575001-2675000,25,0.53238,0.415671
