CHROM-BIN_START-BIN_END,N_VARIANTS,WEIGHTED_FST,MEAN_FST
A01-1-100000,21,0.0673048,0.0616038
A01-25001-125000,17,0.0739435,0.059196
A01-50001-150000,22,0.194044,0.127642
A01-75001-175000,23,0.185721,0.118696
A01-100001-200000,19,0.235004,0.140483
A01-125001-225000,18,0.235891,0.139947
A01-150001-250000,19,0.0780778,0.067814
A01-175001-275000,26,0.20417,0.145121
A01-200001-300000,27,0.197306,0.146811
A01-225001-325000,22,0.243002,0.186592
A01-250001-350000,27,0.318228,0.247148
A01-275001-375000,17,0.295969,0.247011
A01-300001-400000,17,0.288872,0.223542
A01-325001-425000,22,0.247429,0.162454
A01-350001-450000,12,0.0497641,0.036649
A01-375001-475000,28,0.116433,0.0837656
A01-400001-500000,32,0.177246,0.134942
A01-425001-525000,26,0.195641,0.161034
A01-450001-550000,26,0.201086,0.163816
A01-475001-575000,18,0.265305,0.207663
A01-500001-600000,9,0.239677,0.162409
A01-525001-625000,13,0.180695,0.126086
A01-550001-650000,22,0.149375,0.111792
A01-575001-675000,22,0.122297,0.0820782
A01-600001-700000,22,0.122297,0.0820782
A01-625001-725000,22,0.118657,0.0870202
A01-650001-750000,25,0.0750492,0.0529765
A01-675001-775000,17,0.0416248,0.0349265
A01-700001-800000,19,0.0418657,0.0364232
A01-725001-825000,17,0.0622577,0.0507978
A01-750001-850000,4,0.158595,0.138992
A01-775001-875000,4,0.158595,0.138992
A01-800001-900000,2,0.2289,0.228839
A01-825001-925000,7,0.00358735,0.00751075
A01-850001-950000,13,0.0375808,0.0477096
A01-875001-975000,14,0.0393695,0.0493081
A01-900001-1000000,16,0.0818067,0.0692312
A01-925001-1025000,9,0.171709,0.117236
A01-950001-1050000,3,0.263024,0.162491
A01-975001-1075000,2,0.32348,0.208693
A01-1000001-1100000,8,0.106536,0.10212
A01-1025001-1125000,12,0.120251,0.0910889
A01-1050001-1150000,29,0.0910134,0.0831135
A01-1075001-1175000,29,0.0910134,0.0831135
A01-1100001-1200000,21,0.0857992,0.0758731
A01-1125001-1225000,17,0.0751857,0.0774839
A01-1200001-1300000,8,0.188418,0.182718
A01-1225001-1325000,11,0.201353,0.192548
A01-1250001-1350000,11,0.201353,0.192548
A01-1275001-1375000,12,0.187256,0.176864
A01-1300001-1400000,4,0.184406,0.165157
A01-1325001-1425000,10,0.152588,0.122492
A01-1350001-1450000,21,0.225231,0.189456
A01-1375001-1475000,25,0.221773,0.184345
A01-1400001-1500000,25,0.221773,0.184345
A01-1425001-1525000,16,0.257421,0.211754
A01-1450001-1550000,9,0.217191,0.175396
A01-1475001-1575000,4,0.250454,0.236042
A01-1500001-1600000,4,0.250454,0.236042
A01-1525001-1625000,6,0.31405,0.279674
A01-1550001-1650000,4,0.336148,0.277531
A01-1575001-1675000,18,0.148918,0.11207
A01-1600001-1700000,28,0.167696,0.146982
A01-1625001-1725000,39,0.194682,0.160772
A01-1650001-1750000,37,0.194717,0.159293
A01-1675001-1775000,25,0.24674,0.19954
A01-1700001-1800000,31,0.182988,0.115808
A01-1725001-1825000,22,0.0384129,0.0334549
A01-1750001-1850000,22,0.0384129,0.0334549
A01-1775001-1875000,22,0.0439523,0.0371952
A01-1800001-1900000,7,0.0219563,0.0186115
A01-1825001-1925000,12,0.0709865,0.0673381
A01-1850001-1950000,12,0.0709865,0.0673381
A01-1875001-1975000,13,0.0650298,0.0645934
A01-1900001-2000000,20,0.0700501,0.0761327
A01-1925001-2025000,14,0.0669758,0.0788856
A01-1950001-2050000,14,0.0669758,0.0788856
A01-1975001-2075000,11,0.0777162,0.0898796
A01-2000001-2100000,8,0.0519476,0.0537715
A01-2025001-2125000,10,0.10619,0.104507
A01-2050001-2150000,15,0.123578,0.102041
A01-2075001-2175000,17,0.140991,0.109443
A01-2100001-2200000,12,0.174745,0.143695
A01-2125001-2225000,14,0.117387,0.065483
A01-2150001-2250000,14,0.207127,0.120706
A01-2175001-2275000,12,0.200645,0.11333
A01-2200001-2300000,20,0.193241,0.142246
A01-2225001-2325000,48,0.296937,0.230916
A01-2250001-2350000,46,0.289974,0.222309
A01-2275001-2375000,46,0.289974,0.222309
A01-2300001-2400000,43,0.300517,0.220309
A01-2325001-2425000,13,0.142273,0.0918469
A01-2350001-2450000,10,0.147084,0.0793084
A01-2375001-2475000,10,0.147084,0.0793084
A01-2400001-2500000,5,0.0286034,0.0122164
A01-2425001-2525000,6,0.22134,0.191628
A01-2450001-2550000,21,0.144539,0.110514
A01-2475001-2575000,28,0.125109,0.0929552
A01-2500001-2600000,35,0.162696,0.10642
A01-2525001-2625000,32,0.155386,0.0960905
A01-2550001-2650000,32,0.219359,0.1379
A01-2575001-2675000,27,0.235997,0.160388
A01-2600001-2700000,21,0.230906,0.173135
