CHROM-BIN_START-BIN_END,PI EU,CHROM-BIN_START-BIN_END,PI EA,CHROM-BIN_START-BIN_END,PI ch,CHROM-BIN_START-BIN_END,PI pk,CHROM-BIN_START-BIN_END,PI sylv,CHROM-BIN_START-BIN_END,PI tril
A01-1-100000,5.43E-05,A01-1-100000,7.63E-05,A01-1-100000,6.88E-05,A01-1-100000,7.18E-05,A01-1-100000,1.07E-05,A01-1-100000,8.68E-06
A01-25001-125000,3.00E-05,A01-25001-125000,5.28E-05,A01-25001-125000,3.84E-05,A01-25001-125000,5.14E-05,A01-25001-125000,1.07E-05,A01-25001-125000,7.78E-06
A01-50001-150000,4.04E-05,A01-50001-150000,6.52E-05,A01-50001-150000,5.17E-05,A01-50001-150000,6.31E-05,A01-50001-150000,1.65E-05,A01-50001-150000,7.78E-06
A01-75001-175000,4.36E-05,A01-75001-175000,6.69E-05,A01-75001-175000,5.08E-05,A01-75001-175000,6.64E-05,A01-75001-175000,1.75E-05,A01-75001-175000,8.26E-06
A01-100001-200000,3.37E-05,A01-100001-200000,4.77E-05,A01-100001-200000,3.80E-05,A01-100001-200000,4.97E-05,A01-100001-200000,6.81E-06,A01-100001-200000,4.86E-06
A01-125001-225000,3.07E-05,A01-125001-225000,4.67E-05,A01-125001-225000,5.00E-05,A01-125001-225000,4.03E-05,A01-125001-225000,1.98E-05,A01-125001-225000,6.82E-06
A01-150001-250000,3.59E-05,A01-150001-250000,5.24E-05,A01-150001-250000,5.18E-05,A01-150001-250000,4.13E-05,A01-150001-250000,1.92E-05,A01-150001-250000,7.82E-06
A01-175001-275000,4.82E-05,A01-175001-275000,6.93E-05,A01-175001-275000,7.73E-05,A01-175001-275000,4.51E-05,A01-175001-275000,3.10E-05,A01-175001-275000,1.18E-05
A01-200001-300000,5.46E-05,A01-200001-300000,7.00E-05,A01-200001-300000,7.36E-05,A01-200001-300000,5.13E-05,A01-200001-300000,3.77E-05,A01-200001-300000,1.58E-05
A01-225001-325000,4.47E-05,A01-225001-325000,5.75E-05,A01-225001-325000,5.80E-05,A01-225001-325000,4.10E-05,A01-225001-325000,2.47E-05,A01-225001-325000,1.28E-05
A01-250001-350000,5.10E-05,A01-250001-350000,7.13E-05,A01-250001-350000,7.59E-05,A01-250001-350000,5.47E-05,A01-250001-350000,2.99E-05,A01-250001-350000,1.42E-05
A01-275001-375000,3.38E-05,A01-275001-375000,4.86E-05,A01-275001-375000,4.88E-05,A01-275001-375000,4.24E-05,A01-275001-375000,1.71E-05,A01-275001-375000,9.21E-06
A01-300001-400000,3.02E-05,A01-300001-400000,4.93E-05,A01-300001-400000,4.75E-05,A01-300001-400000,4.37E-05,A01-300001-400000,1.57E-05,A01-300001-400000,7.38E-06
A01-325001-425000,3.76E-05,A01-325001-425000,5.33E-05,A01-325001-425000,5.31E-05,A01-325001-425000,4.67E-05,A01-325001-425000,1.57E-05,A01-325001-425000,1.94E-05
A01-350001-450000,1.76E-05,A01-350001-450000,2.46E-05,A01-350001-450000,2.43E-05,A01-350001-450000,2.25E-05,A01-350001-450000,6.48E-06,A01-350001-450000,1.89E-05
A01-375001-475000,3.44E-05,A01-375001-475000,7.68E-05,A01-375001-475000,8.12E-05,A01-375001-475000,6.19E-05,A01-375001-475000,1.99E-05,A01-375001-475000,1.89E-05
A01-400001-500000,5.14E-05,A01-400001-500000,8.24E-05,A01-400001-500000,8.46E-05,A01-400001-500000,6.92E-05,A01-400001-500000,3.45E-05,A01-400001-500000,1.85E-05
A01-425001-525000,4.35E-05,A01-425001-525000,7.33E-05,A01-425001-525000,7.48E-05,A01-425001-525000,6.19E-05,A01-425001-525000,3.45E-05,A01-425001-525000,6.49E-06
A01-450001-550000,4.16E-05,A01-450001-550000,7.24E-05,A01-450001-550000,7.45E-05,A01-450001-550000,6.00E-05,A01-450001-550000,3.47E-05,A01-450001-550000,4.64E-06
A01-475001-575000,4.25E-05,A01-475001-575000,2.30E-05,A01-475001-575000,2.31E-05,A01-475001-575000,2.05E-05,A01-475001-575000,3.85E-05,A01-475001-575000,6.14E-06
A01-500001-600000,1.76E-05,A01-500001-600000,5.08E-06,A01-500001-600000,9.20E-06,A01-500001-600000,3.57E-07,A01-500001-600000,1.86E-05,A01-500001-600000,1.50E-06
A01-525001-625000,2.47E-05,A01-525001-625000,1.22E-05,A01-525001-625000,1.62E-05,A01-525001-625000,6.77E-06,A01-525001-625000,1.86E-05,A01-525001-625000,7.55E-06
A01-550001-650000,4.79E-05,A01-550001-650000,3.86E-05,A01-550001-650000,3.41E-05,A01-550001-650000,3.73E-05,A01-550001-650000,2.75E-05,A01-550001-650000,1.02E-05
A01-575001-675000,4.71E-05,A01-575001-675000,6.21E-05,A01-575001-675000,5.22E-05,A01-575001-675000,5.90E-05,A01-575001-675000,1.40E-05,A01-575001-675000,1.49E-05
A01-600001-700000,4.71E-05,A01-600001-700000,6.21E-05,A01-600001-700000,5.22E-05,A01-600001-700000,5.90E-05,A01-600001-700000,1.40E-05,A01-600001-700000,1.49E-05
A01-625001-725000,4.62E-05,A01-625001-725000,6.93E-05,A01-625001-725000,6.02E-05,A01-625001-725000,6.23E-05,A01-625001-725000,1.40E-05,A01-625001-725000,1.08E-05
A01-650001-750000,5.11E-05,A01-650001-750000,8.31E-05,A01-650001-750000,7.84E-05,A01-650001-750000,5.37E-05,A01-650001-750000,8.57E-06,A01-650001-750000,2.05E-05
A01-675001-775000,3.42E-05,A01-675001-775000,5.68E-05,A01-675001-775000,5.48E-05,A01-675001-775000,3.20E-05,A01-675001-775000,4.95E-06,A01-675001-775000,1.42E-05
A01-700001-800000,3.55E-05,A01-700001-800000,6.16E-05,A01-700001-800000,6.14E-05,A01-700001-800000,3.43E-05,A01-700001-800000,4.95E-06,A01-700001-800000,1.60E-05
A01-725001-825000,2.94E-05,A01-725001-825000,5.51E-05,A01-725001-825000,5.52E-05,A01-725001-825000,3.04E-05,A01-725001-825000,4.95E-06,A01-725001-825000,1.69E-05
A01-750001-850000,1.28E-06,A01-750001-850000,1.26E-05,A01-750001-850000,1.55E-05,A01-750001-850000,8.13E-06,A01-825001-925000,1.16E-05,A01-750001-850000,4.51E-06
A01-775001-875000,1.28E-06,A01-775001-875000,1.26E-05,A01-775001-875000,1.55E-05,A01-775001-875000,8.13E-06,A01-850001-950000,1.16E-05,A01-775001-875000,4.51E-06
A01-825001-925000,1.63E-05,A01-800001-900000,7.76E-06,A01-800001-900000,8.82E-06,A01-800001-900000,5.84E-06,A01-875001-975000,1.46E-05,A01-800001-900000,2.77E-06
A01-850001-950000,2.27E-05,A01-825001-925000,2.79E-05,A01-825001-925000,2.31E-05,A01-825001-925000,1.82E-05,A01-900001-1000000,1.46E-05,A01-875001-975000,1.85E-06
A01-875001-975000,2.33E-05,A01-850001-950000,4.23E-05,A01-850001-950000,4.12E-05,A01-850001-950000,2.86E-05,A01-925001-1025000,2.97E-06,A01-900001-1000000,1.85E-06
A01-900001-1000000,2.39E-05,A01-875001-975000,4.52E-05,A01-875001-975000,4.58E-05,A01-875001-975000,2.90E-05,A01-950001-1050000,2.97E-06,A01-925001-1025000,1.85E-06
A01-925001-1025000,7.65E-06,A01-900001-1000000,5.15E-05,A01-900001-1000000,5.27E-05,A01-900001-1000000,3.46E-05,A01-1050001-1150000,8.57E-06,A01-950001-1050000,1.85E-06
A01-950001-1050000,1.25E-06,A01-925001-1025000,2.36E-05,A01-925001-1025000,2.96E-05,A01-925001-1025000,1.63E-05,A01-1075001-1175000,8.57E-06,A01-1000001-1100000,9.23E-07
A01-975001-1075000,6.95E-07,A01-950001-1050000,9.16E-06,A01-950001-1050000,1.15E-05,A01-950001-1050000,5.92E-06,A01-1100001-1200000,8.57E-06,A01-1025001-1125000,9.23E-07
A01-1000001-1100000,1.72E-05,A01-975001-1075000,6.32E-06,A01-975001-1075000,6.92E-06,A01-975001-1075000,5.56E-06,A01-1125001-1225000,8.57E-06,A01-1050001-1150000,2.25E-05
A01-1025001-1125000,2.15E-05,A01-1000001-1100000,2.16E-05,A01-1000001-1100000,1.78E-05,A01-1000001-1100000,2.23E-05,A01-1200001-1300000,2.42E-06,A01-1075001-1175000,2.25E-05
A01-1050001-1150000,6.54E-05,A01-1025001-1125000,3.19E-05,A01-1025001-1125000,2.70E-05,A01-1025001-1125000,3.17E-05,A01-1225001-1325000,6.26E-06,A01-1100001-1200000,2.16E-05
A01-1075001-1175000,6.54E-05,A01-1050001-1150000,9.51E-05,A01-1050001-1150000,8.93E-05,A01-1050001-1150000,9.51E-05,A01-1250001-1350000,6.26E-06,A01-1125001-1225000,2.16E-05
A01-1100001-1200000,4.82E-05,A01-1075001-1175000,9.51E-05,A01-1075001-1175000,8.93E-05,A01-1075001-1175000,9.51E-05,A01-1275001-1375000,6.26E-06,A01-1200001-1300000,4.33E-06
A01-1125001-1225000,4.40E-05,A01-1100001-1200000,7.34E-05,A01-1100001-1200000,7.15E-05,A01-1100001-1200000,7.27E-05,A01-1300001-1400000,3.85E-06,A01-1225001-1325000,4.33E-06
A01-1200001-1300000,1.72E-05,A01-1125001-1225000,6.31E-05,A01-1125001-1225000,6.23E-05,A01-1125001-1225000,6.34E-05,A01-1350001-1450000,5.71E-06,A01-1250001-1350000,4.33E-06
A01-1225001-1325000,2.46E-05,A01-1200001-1300000,1.74E-05,A01-1200001-1300000,1.72E-05,A01-1200001-1300000,1.70E-05,A01-1375001-1475000,9.78E-06,A01-1275001-1375000,4.33E-06
A01-1250001-1350000,2.46E-05,A01-1225001-1325000,2.13E-05,A01-1225001-1325000,2.04E-05,A01-1225001-1325000,2.16E-05,A01-1400001-1500000,9.78E-06,A01-1350001-1450000,5.00E-07
A01-1275001-1375000,2.74E-05,A01-1250001-1350000,2.13E-05,A01-1250001-1350000,2.04E-05,A01-1250001-1350000,2.16E-05,A01-1425001-1525000,9.78E-06,A01-1375001-1475000,1.47E-06
A01-1300001-1400000,1.01E-05,A01-1275001-1375000,2.33E-05,A01-1275001-1375000,2.22E-05,A01-1275001-1375000,2.39E-05,A01-1450001-1550000,6.92E-06,A01-1400001-1500000,1.47E-06
A01-1325001-1425000,2.69E-05,A01-1300001-1400000,5.95E-06,A01-1300001-1400000,5.01E-06,A01-1300001-1400000,6.84E-06,A01-1475001-1575000,2.86E-06,A01-1425001-1525000,1.47E-06
A01-1350001-1450000,4.80E-05,A01-1325001-1425000,2.68E-05,A01-1325001-1425000,3.13E-05,A01-1325001-1425000,1.87E-05,A01-1500001-1600000,2.86E-06,A01-1450001-1550000,1.85E-06
A01-1375001-1475000,5.44E-05,A01-1350001-1450000,5.60E-05,A01-1350001-1450000,5.86E-05,A01-1350001-1450000,4.98E-05,A01-1525001-1625000,2.86E-06,A01-1475001-1575000,8.72E-07
A01-1400001-1500000,5.44E-05,A01-1375001-1475000,6.87E-05,A01-1375001-1475000,6.79E-05,A01-1375001-1475000,6.23E-05,A01-1600001-1700000,1.80E-05,A01-1500001-1600000,8.72E-07
